filename,width,height,class,xmin,ymin,xmax,ymax
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_pawn,412,358,467,431
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_pawn,86,279,150,345
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_pawn,312,195,368,277
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_pawn,734,436,790,510
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_queen,146,544,253,656
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_rook,136,801,228,878
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_rook,718,328,780,421
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_king,633,762,724,861
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_queen,306,414,393,523
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_knight,385,774,466,860
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_knight,623,647,696,736
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_bishop,501,67,564,165
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,white_bishop,514,231,580,328
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,black_king,585,109,651,245
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_1,760,88,960,856
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_2,667,93,849,857
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_3,572,99,733,865
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_4,481,102,619,867
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_5,388,110,505,875
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_6,273,118,394,882
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_7,166,119,296,888
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,rank_8,53,125,202,893
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_a,50,738,963,893
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_b,63,626,942,780
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_c,71,527,928,671
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_d,77,431,914,569
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_e,88,340,902,473
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_f,92,249,888,382
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_g,98,166,875,292
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,file_h,103,91,866,210
gn_039e_23-Jun-2019-11-52_0020.jpg,1024,1024,outline,50,86,960,893
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_pawn,825,327,880,408
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_pawn,727,461,784,527
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_pawn,210,262,271,340
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_pawn,384,674,447,741
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_queen,790,19,866,153
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_rook,850,754,933,840
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_rook,303,170,377,264
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_king,490,225,567,356
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_queen,177,438,284,548
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_knight,734,634,818,721
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_knight,680,67,744,180
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_bishop,796,153,859,251
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,white_bishop,208,82,281,188
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,black_king,714,202,780,330
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_1,760,87,960,857
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_2,666,92,847,860
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_3,571,97,736,865
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_4,480,100,618,870
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_5,386,109,505,875
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_6,275,118,393,875
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_7,166,119,294,887
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,rank_8,53,125,203,888
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_a,51,736,966,893
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_b,63,627,944,778
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_c,71,528,931,670
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_d,77,432,915,569
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_e,86,339,902,478
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_f,93,251,890,382
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_g,98,167,876,293
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,file_h,102,90,867,213
gn_039e_23-Jun-2019-11-52_0032.jpg,1024,1024,outline,53,86,963,890
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,black_pawn,415,197,473,273
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,black_pawn,311,760,371,821
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,white_pawn,189,264,254,338
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,white_pawn,542,456,592,527
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,black_queen,528,784,605,873
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,black_rook,598,335,667,423
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,white_rook,499,84,566,183
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,white_king,181,343,285,465
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,white_queen,385,331,460,448
gn_039e_23-Jun-2019-11-52_0042.jpg,1024,1024,black_knight,392,543,466,627
